frame,x,y,w,h,t,noX,noY,neX,neY,taX,taY,trk
0,1618,630,77,196,3.13,1630,721,1644,692,1640,565,52
0,1596,749,62,170,3.54,1563,819,1560,784,1605,675,53
0,1551,741,64,170,3.54,1513,807,1509,781,1566,661,54
0,1473,724,81,198,0.06,1466,633,1489,649,1503,778,55
0,1424,689,91,210,0.06,1392,590,1428,605,1449,750,56
0,1391,683,57,172,6.0,1370,612,1377,631,1411,762,57
0,1356,727,61,181,6.24,1354,658,1355,670,1361,812,58
0,1274,648,78,170,1.47,1357,628,1346,631,1203,655,59
0,1287,719,105,146,5.59,1237,678,1267,676,1324,777,60
0,1199,703,86,199,4.97,1115,677,1152,668,1285,715,61
0,1323,826,76,148,5.4,1273,786,1292,782,1377,864,62
0,1300,870,73,108,2.23,1331,904,1325,888,1261,836,63
0,959,770,60,170,1.92,1035,794,1000,786,890,748,64
0,901,906,82,189,0.3,925,830,920,864,871,987,65
0,1335,986,88,159,5.98,1311,924,1306,958,1364,1050,66
0,1046,936,76,202,5.39,982,872,982,906,1103,987,67
0,1120,937,68,171,5.03,1049,908,1078,930,1192,948,68
0,1085,984,109,182,5.3,1004,956,1015,983,1147,1039,69
0,967,995,92,217,1.75,1052,1036,1024,1030,876,1005,70
0,1551,860,79,127,1.8,1608,868,1600,864,1504,836,71
0,1858,545,68,120,2.64,1882,591,1887,573,1848,494,72
0,1891,517,55,120,3.13,1909,566,1916,551,1880,467,73
0,1822,510,60,114,0.65,1840,463,1847,483,1809,561,74
0,1778,500,76,101,1.48,1822,484,1813,490,1740,488,75
0,1802,608,52,101,1.25,1845,592,1835,598,1770,618,76
0,1776,456,45,94,1.67,1817,468,1808,450,1736,453,77
0,1766,570,63,81,1.44,1799,571,1790,585,1729,590,78
0,23,985,36,74,3.28,17,1019,14,1010,18,958,79
0,51,1035,36,74,5.12,21,1021,23,1024,54,1045,80
0,54,1058,36,62,4.84,27,1049,32,1053,67,1066,81
1,20,414,40,104,3.15,8,450,5,432,2,371,1
1,60,573,43,76,5.21,32,560,38,561,80,586,3
1,29,641,56,107,0.0,16,606,16,613,19,689,4
1,62,321,44,82,2.54,83,337,78,320,52,284,5
1,87,332,42,67,4.65,60,340,62,334,98,324,6
1,112,307,46,81,2.29,134,326,118,315,88,284,7
1,230,339,67,133,3.09,220,388,220,387,218,289,8
1,241,384,68,136,0.03,225,322,229,334,232,434,9
1,213,460,59,136,0.04,224,401,214,406,200,520,10
1,296,388,61,131,0.55,319,339,305,351,245,433,11
1,281,298,59,101,1.63,322,314,303,299,236,284,12
1,351,287,60,106,5.09,313,279,318,281,394,286,13
1,398,321,60,128,1.03,440,280,429,288,345,341,14
1,499,309,71,125,4.78,444,293,448,290,551,302,15
1,626,318,72,150,4.78,560,331,571,302,689,308,16
1,759,365,70,159,3.14,755,428,763,405,747,293,17
1,415,396,72,148,1.49,483,384,456,384,354,398,18
1,686,471,58,192,2.37,740,526,720,509,632,408,19
1,369,470,56,139,1.5,434,478,407,470,313,479,20
1,337,567,56,145,2.92,359,628,342,617,318,503,21
1,412,524,61,141,4.56,352,535,361,530,467,518,22
1,409,586,78,141,3.73,381,641,376,626,425,530,23
1,692,584,74,141,2.25,736,625,711,605,631,570,24
1,440,630,63,135,4.08,394,659,396,651,477,589,25
1,479,683,79,110,4.32,437,700,445,700,510,641,26
1,555,668,69,159,3.4,537,742,537,728,581,608,27
1,437,724,74,140,-0.69,387,693,392,697,466,767,28
1,527,775,61,136,-1.77,464,799,472,796,578,756,29
1,708,834,73,131,4.81,662,829,669,831,772,841,30
1,453,793,55,168,5.28,387,757,414,775,514,826,31
1,440,805,65,166,5.81,404,744,403,781,474,872,32
1,378,770,66,131,6.26,379,722,367,723,362,826,33
1,295,764,46,108,1.77,346,773,339,771,248,752,34
1,199,746,46,125,5.28,152,719,169,728,239,771,35
1,262,816,80,84,1.74,288,829,268,817,223,822,36
1,315,859,70,137,5.15,265,845,271,848,352,898,37
1,667,949,67,161,5.17,611,920,614,933,724,987,38
1,894,586,97,237,3.35,865,686,861,646,876,511,39
1,1085,633,115,210,3.45,1051,717,1032,689,1080,549,40
1,872,877,117,196,3.35,834,954,818,926,858,793,41
1,1313,474,75,178,2.73,1345,546,1343,521,1264,411,42
1,1162,363,92,180,1.69,1246,358,1225,356,1083,345,43
1,1309,386,86,162,4.81,1230,375,1253,360,1383,392,44
1,1228,581,99,182,1.24,1314,577,1303,591,1166,635,45
1,1406,536,117,170,3.49,1363,595,1354,554,1421,458,46
1,1588,428,74,144,4.81,1523,424,1542,407,1646,429,47
1,1490,520,57,157,4.63,1418,524,1439,527,1557,518,48
1,1609,515,82,117,2.07,1644,545,1650,520,1562,491,49
1,1576,576,64,139,1.74,1634,585,1629,581,1549,556,50
1,1558,638,77,139,1.28,1619,628,1608,622,1504,670,51
1,1618,630,77,196,3.13,1630,721,1644,692,1640,565,52
1,1596,749,62,170,3.54,1563,819,1560,784,1605,675,53
1,1551,741,64,170,3.54,1513,807,1509,781,1566,661,54
1,1473,724,81,198,0.06,1466,633,1489,649,1503,778,55
1,1424,689,91,210,0.06,1392,590,1428,605,1449,750,56
1,1391,683,57,172,6.0,1370,612,1377,631,1411,762,57
1,1356,727,61,181,6.24,1354,658,1355,670,1361,812,58
1,1274,648,79,170,1.47,1356,627,1344,630,1202,654,59
1,1287,719,105,146,5.59,1237,677,1267,676,1324,777,60
1,1200,703,86,197,4.97,1113,682,1151,666,1285,715,61
1,1323,826,76,148,5.4,1274,785,1292,782,1377,864,62
1,1301,870,73,108,2.23,1331,904,1325,888,1261,836,63
1,966,772,60,156,1.92,1036,794,1014,787,900,748,64
1,901,906,82,189,0.3,924,830,920,864,870,987,65
1,1335,986,88,159,5.98,1311,924,1306,958,1364,1050,66
1,1046,936,76,202,5.39,982,872,982,906,1103,987,67
1,1120,937,69,171,5.03,1049,908,1078,930,1192,948,68
1,1085,984,109,182,5.3,1004,956,1015,983,1147,1039,69
1,967,995,92,217,1.75,1052,1036,1024,1030,876,1005,70
1,1551,860,79,127,1.8,1608,868,1600,864,1504,836,71
1,1858,545,68,120,2.64,1882,591,1887,573,1848,494,72
1,1891,517,55,120,3.13,1909,566,1916,551,1880,467,73
1,1822,510,60,114,0.65,1840,463,1847,483,1809,561,74
1,1778,500,76,101,1.48,1822,484,1813,490,1740,488,75
1,1802,608,52,101,1.25,1845,592,1835,598,1770,618,76
1,1776,456,45,94,1.67,1817,468,1808,450,1736,453,77
1,1766,570,63,81,1.44,1799,571,1790,585,1729,590,78
1,23,985,36,74,3.28,17,1019,14,1010,18,958,79
1,50,1035,36,72,5.12,21,1021,23,1024,53,1042,80
1,54,1058,36,62,4.84,27,1049,32,1053,68,1066,81
2,20,412,40,109,3.15,3,443,5,432,2,371,1
2,60,573,43,76,5.21,32,560,38,561,80,586,3
2,29,641,56,107,0.0,16,606,16,613,19,689,4
2,62,321,44,82,2.54,83,337,78,320,52,284,5
2,83,334,47,71,4.49,56,346,57,340,98,324,6
2,112,307,46,81,2.29,134,326,118,315,88,284,7
2,226,339,72,133,3.12,215,394,211,378,225,282,8
2,246,380,53,142,6.24,229,325,232,332,237,419,9
2,213,460,59,136,0.04,225,402,215,405,200,520,10
2,297,371,60,142,0.49,322,321,306,334,256,415,11
2,281,298,59,101,1.63,322,314,303,299,236,284,12
2,352,287,59,106,5.09,313,279,318,281,394,286,13
2,398,321,60,128,1.03,440,280,429,288,345,341,14
2,499,309,71,125,4.78,444,293,448,290,551,302,15
2,626,318,72,150,4.78,560,331,571,302,689,308,16
2,759,365,70,159,3.14,755,428,763,405,747,293,17
2,437,397,92,142,1.04,474,345,462,351,363,400,18
2,691,475,65,180,2.24,756,518,736,508,637,421,19
2,388,471,59,141,1.5,454,476,426,470,326,474,20
2,337,567,56,145,2.92,359,628,342,617,318,503,21
2,412,524,61,141,4.56,350,528,359,526,467,518,22
2,409,586,78,141,3.73,381,641,376,626,425,530,23
2,692,584,74,141,2.25,732,630,710,611,629,571,24
2,440,630,63,135,4.08,392,663,396,655,477,589,25
2,473,680,85,110,4.51,425,692,430,691,503,647,26
2,555,668,69,159,3.4,537,742,537,728,581,608,27
2,435,727,78,143,-0.69,390,696,397,705,474,769,28
2,527,778,61,136,4.44,464,799,472,796,578,756,29
2,711,834,73,124,4.81,661,831,669,839,772,841,30
2,450,808,69,168,5.22,396,767,414,775,502,835,31
2,433,816,56,166,5.69,384,772,395,794,474,872,32
2,378,770,66,131,6.26,370,717,365,726,355,826,33
2,292,759,46,106,1.77,342,767,340,766,247,755,34
2,199,746,46,125,5.28,153,715,169,728,239,771,35
2,262,816,80,85,1.74,283,806,257,800,223,822,36
2,315,859,70,137,5.15,261,837,266,839,352,897,37
2,667,949,67,161,5.17,611,920,614,933,724,987,38
2,894,586,97,237,3.35,865,686,861,646,876,511,39
2,1085,633,115,210,3.45,1055,716,1035,686,1080,549,40
2,872,877,117,196,3.35,834,955,818,926,858,793,41
2,1313,474,75,178,2.73,1345,546,1343,521,1264,411,42
2,1162,363,92,180,1.69,1246,358,1225,356,1083,345,43
2,1309,386,86,162,4.81,1230,375,1253,360,1383,392,44
2,1228,581,99,182,1.24,1314,577,1303,591,1166,635,45
2,1406,536,117,170,3.49,1363,595,1354,554,1421,458,46
2,1588,428,74,144,4.81,1523,424,1542,407,1646,429,47
2,1490,520,57,157,4.63,1418,524,1439,527,1556,522,48
2,1609,515,82,117,2.07,1644,545,1650,520,1562,491,49
2,1576,576,64,139,1.74,1634,585,1629,581,1549,556,50
2,1558,638,77,139,1.28,1620,626,1606,623,1504,670,51
2,1618,630,77,196,3.13,1630,721,1644,692,1640,565,52
2,1596,749,62,170,3.54,1563,819,1560,784,1605,675,53
2,1551,741,64,170,3.54,1513,807,1509,781,1566,661,54
2,1473,724,81,198,0.06,1466,633,1489,649,1503,778,55
2,1424,689,91,210,0.06,1392,590,1428,605,1449,750,56
2,1391,683,57,172,6.0,1370,612,1377,631,1411,762,57
2,1356,727,61,181,6.24,1354,658,1355,670,1361,812,58
2,1274,648,79,170,1.47,1356,627,1344,630,1202,654,59
2,1287,719,105,146,5.59,1237,677,1267,676,1324,777,60
2,1200,703,86,197,4.97,1115,683,1151,668,1285,715,61
2,1323,826,76,148,5.4,1272,787,1292,782,1377,864,62
2,1301,870,73,108,2.23,1331,904,1325,888,1261,836,63
2,971,778,68,151,1.85,1040,796,1027,790,905,758,64
2,901,906,82,189,0.3,924,830,920,864,870,987,65
2,1335,986,88,159,5.98,1311,924,1306,958,1364,1050,66
2,1046,936,76,202,5.39,982,872,982,906,1103,987,67
2,1121,936,71,172,5.03,1049,908,1078,930,1192,948,68
2,1085,984,109,182,5.3,1004,956,1015,983,1147,1039,69
2,967,995,92,217,1.75,1052,1036,1024,1030,876,1005,70
2,1551,860,79,127,1.8,1608,868,1600,864,1504,836,71
2,1858,545,68,120,2.64,1882,591,1887,573,1848,494,72
2,1891,517,55,120,3.13,1909,566,1916,551,1880,467,73
2,1822,510,60,114,0.65,1840,463,1847,483,1809,561,74
2,1778,500,76,101,1.48,1822,484,1813,490,1740,488,75
2,1802,608,52,101,1.25,1845,592,1835,598,1770,618,76
2,1776,456,45,94,1.67,1817,468,1808,450,1736,453,77
2,1766,570,63,81,1.44,1799,571,1790,585,1729,590,78
2,23,985,36,74,3.28,17,1019,14,1010,18,958,79
2,50,1035,36,72,5.12,21,1021,25,1026,56,1048,80
2,54,1058,36,62,4.84,27,1049,34,1054,68,1066,81
3,20,412,40,109,3.15,1,457,1,443,2,371,1
3,60,573,43,76,5.21,32,560,38,561,80,586,3
3,29,641,56,107,0.0,16,607,16,613,19,689,4
3,62,321,44,82,2.54,83,337,78,320,52,284,5
3,69,335,40,72,3.98,47,349,54,337,94,315,6
3,112,307,46,81,2.29,134,326,118,315,88,284,7
3,223,338,59,136,3.2,215,396,210,381,232,279,8
3,248,380,57,140,6.18,233,322,235,329,246,412,9
3,213,460,59,136,0.04,230,400,214,407,200,520,10
3,300,368,60,124,0.43,319,318,307,325,266,408,11
3,281,298,59,101,1.63,322,314,303,299,236,284,12
3,352,287,59,106,5.09,313,279,318,281,394,286,13
3,397,321,61,128,1.03,440,280,429,288,345,341,14
3,499,309,71,124,4.78,444,293,448,290,551,302,15
3,626,318,72,150,4.78,560,331,571,302,689,308,16
3,759,365,70,159,3.14,755,428,763,405,747,293,17
3,434,378,69,151,0.88,478,331,467,338,375,408,18
3,698,473,94,172,1.91,769,472,751,471,636,426,19
3,405,457,61,154,1.39,476,447,449,449,340,468,20
3,337,567,56,145,2.92,359,628,342,617,318,503,21
3,412,524,61,141,4.56,352,537,363,530,467,518,22
3,409,586,78,141,3.73,381,641,376,626,425,530,23
3,692,584,74,141,2.25,734,626,714,606,629,571,24
3,442,628,61,137,4.15,392,662,394,655,479,600,25
3,464,676,64,127,4.42,413,695,423,695,501,643,26
3,555,668,69,159,3.4,537,742,537,728,581,608,27
3,435,727,78,143,-0.69,390,696,397,705,474,769,28
3,527,778,61,136,4.44,464,799,472,796,578,756,29
3,713,835,73,121,4.81,668,832,677,836,770,845,30
3,449,796,71,173,5.41,383,752,399,769,492,837,31
3,424,826,89,166,5.71,380,772,390,804,487,878,32
3,378,770,66,131,6.26,370,716,364,721,364,821,33
3,297,767,46,109,1.68,345,772,343,772,247,760,34
3,199,746,46,125,5.28,153,715,169,728,239,771,35
3,257,816,80,87,1.74,283,818,256,808,217,821,36
3,315,859,70,137,5.15,261,837,266,839,352,897,37
3,667,949,67,161,5.17,611,920,614,933,724,987,38
3,894,586,97,237,3.35,865,686,861,646,876,511,39
3,1093,633,99,206,3.45,1069,712,1060,687,1092,547,40
3,872,877,117,196,3.35,834,954,818,926,858,793,41
3,1314,478,91,168,2.92,1336,550,1343,525,1264,411,42
3,1162,363,92,180,1.69,1246,358,1225,356,1083,345,43
3,1309,386,86,162,4.81,1230,375,1253,360,1383,392,44
3,1228,581,99,182,1.24,1314,577,1303,591,1166,635,45
3,1406,536,117,170,3.49,1366,594,1354,554,1421,458,46
3,1588,428,74,144,4.81,1523,424,1542,407,1646,429,47
3,1490,520,57,157,4.63,1422,521,1437,522,1557,520,48
3,1609,515,82,117,2.07,1644,545,1650,520,1562,491,49
3,1576,576,64,139,1.74,1634,584,1625,580,1549,556,50
3,1558,638,77,139,1.28,1617,625,1605,621,1504,669,51
3,1618,630,77,196,3.13,1630,721,1644,692,1640,565,52
3,1596,749,62,170,3.54,1563,819,1560,784,1605,675,53
3,1551,741,64,170,3.54,1513,807,1509,781,1566,661,54
3,1473,724,81,198,0.06,1466,633,1489,649,1503,778,55
3,1424,689,91,210,0.06,1392,590,1428,605,1449,750,56
3,1391,683,57,172,6.0,1370,612,1377,631,1411,762,57
3,1356,727,61,181,6.24,1354,658,1355,670,1361,812,58
3,1274,650,82,170,1.47,1356,627,1344,630,1202,654,59
3,1287,719,105,146,5.59,1240,677,1267,676,1324,777,60
3,1200,703,86,197,4.97,1118,680,1158,664,1285,715,61
3,1323,826,76,148,5.4,1273,786,1292,782,1377,864,62
3,1301,870,73,108,2.23,1331,904,1325,888,1261,836,63
3,971,778,68,151,1.85,1040,796,1030,794,910,769,64
3,901,906,82,189,0.3,924,830,920,864,870,987,65
3,1335,986,88,159,5.98,1311,924,1306,958,1364,1050,66
3,1046,936,76,202,5.39,982,872,982,906,1103,987,67
3,1122,937,69,175,5.03,1049,908,1078,930,1192,948,68
3,1085,984,109,182,5.3,1004,956,1015,983,1147,1039,69
3,967,995,92,217,1.75,1052,1036,1024,1030,876,1005,70
3,1551,860,79,127,1.8,1608,868,1600,864,1504,836,71
3,1858,545,68,120,2.64,1882,591,1887,573,1848,494,72
3,1891,517,55,120,3.13,1909,566,1916,551,1880,467,73
3,1822,510,60,114,0.65,1840,463,1847,483,1809,561,74
3,1778,500,76,101,1.48,1822,484,1813,490,1740,488,75
3,1802,608,52,101,1.25,1845,592,1835,598,1770,618,76
3,1776,456,45,94,1.67,1817,468,1808,450,1736,453,77
3,1766,570,63,81,1.44,1799,571,1790,585,1729,590,78
3,23,985,36,74,3.28,17,1019,14,1010,18,958,79
3,50,1035,36,72,5.12,21,1021,25,1026,56,1048,80
3,54,1058,36,62,4.84,27,1049,34,1054,68,1066,81
4,20,431,40,114,3.15,3,483,2,469,3,379,1
4,20,518,40,73,3.14,24,535,8,520,1,493,2
4,60,573,43,76,5.21,32,560,38,561,80,586,3
4,29,641,56,107,0.0,18,604,16,613,19,689,4
4,62,321,44,82,2.54,83,337,78,320,52,284,5
4,66,343,42,90,3.98,32,367,38,357,81,321,6
4,112,307,46,81,2.29,134,326,118,315,88,284,7
4,221,341,62,141,3.2,201,404,205,380,230,286,8
4,221,341,62,141,3.2,239,323,238,329,240,405,8
4,247,371,54,130,6.18,239,323,238,329,240,405,9
4,213,460,59,136,0.04,227,401,214,407,200,520,10
4,301,364,60,124,0.4,315,316,301,326,268,407,11
4,281,298,59,101,1.63,322,314,303,299,236,284,12
4,351,288,61,106,5.09,313,279,318,281,394,286,13
4,398,321,59,128,1.03,440,280,429,288,345,341,14
4,499,309,71,124,4.78,444,293,448,290,551,302,15
4,626,318,72,150,4.78,560,331,571,302,689,308,16
4,759,360,70,149,3.14,755,428,763,405,747,293,17
4,437,373,69,151,0.81,491,329,474,331,379,403,18
4,712,451,68,178,1.66,788,450,763,454,637,426,19
4,427,444,67,154,1.29,492,427,470,429,361,460,20
4,337,567,56,145,2.92,359,628,342,617,319,510,21
4,412,524,61,141,4.56,355,545,363,533,467,518,22
4,409,586,78,141,3.73,380,646,376,626,421,527,23
4,692,584,74,141,2.25,734,626,714,606,629,571,24
4,442,628,61,137,4.15,392,662,393,655,479,600,25
4,464,676,64,127,4.42,409,693,418,693,498,643,26
4,555,668,69,159,3.4,534,740,535,726,581,608,27
4,435,727,78,143,-0.69,391,693,393,698,473,773,28
4,527,778,61,136,4.44,464,799,472,796,578,756,29
4,711,834,73,125,4.81,668,832,677,836,770,845,30
4,444,799,59,173,5.41,394,743,393,759,480,836,31
4,435,837,89,166,5.71,389,784,398,808,487,878,32
4,368,765,49,129,6.16,370,716,364,721,370,822,33
4,297,767,46,109,1.69,348,770,342,770,249,759,34
4,199,746,46,125,5.28,153,715,169,728,239,771,35
4,257,816,80,87,1.74,284,809,260,804,218,820,36
4,312,865,57,137,5.15,262,844,269,845,351,894,37
4,667,949,67,161,5.17,611,920,614,933,724,987,38
4,897,586,97,237,3.35,865,686,861,646,876,511,39
4,1096,637,90,195,3.45,1071,714,1067,690,1112,549,40
4,872,877,117,196,3.35,834,955,818,926,858,793,41
4,1314,478,91,168,2.92,1332,552,1342,524,1264,411,42
4,1162,363,92,180,1.69,1246,358,1225,356,1083,345,43
4,1309,386,86,162,4.81,1230,375,1253,360,1383,392,44
4,1228,581,99,182,1.24,1314,577,1303,591,1166,635,45
4,1406,536,117,170,3.49,1366,594,1354,554,1421,458,46
4,1588,428,74,144,4.81,1523,424,1542,407,1646,429,47
4,1490,520,57,157,4.63,1420,520,1433,524,1557,520,48
4,1609,515,82,117,2.07,1644,545,1650,520,1562,491,49
4,1576,575,64,139,1.74,1634,584,1625,580,1549,556,50
4,1558,638,77,139,1.28,1617,621,1609,622,1502,663,51
4,1618,630,77,196,3.13,1630,721,1644,692,1640,565,52
4,1596,749,62,170,3.54,1563,819,1560,784,1605,675,53
4,1551,741,64,170,3.54,1513,807,1509,781,1566,661,54
4,1473,724,81,198,0.06,1466,633,1489,649,1503,778,55
4,1423,688,91,210,0.06,1392,590,1428,605,1449,750,56
4,1391,683,57,172,6.0,1370,612,1377,631,1411,762,57
4,1356,727,61,181,6.24,1354,658,1355,670,1361,812,58
4,1274,649,79,170,1.47,1356,627,1344,630,1202,654,59
4,1287,719,105,146,5.59,1237,677,1267,676,1324,777,60
4,1200,703,86,197,4.97,1115,679,1154,669,1285,715,61
4,1323,826,76,148,5.4,1273,785,1292,782,1377,864,62
4,1301,870,73,108,2.23,1331,904,1325,888,1261,836,63
4,981,783,72,130,1.85,1039,796,1035,797,919,785,64
4,901,906,82,189,0.3,924,830,920,864,870,987,65
4,1335,986,88,159,5.98,1311,924,1306,958,1364,1050,66
4,1046,936,76,202,5.39,982,872,982,906,1103,987,67
4,1121,936,71,171,5.03,1049,908,1078,930,1192,948,68
4,1085,984,109,182,5.3,1004,956,1015,983,1147,1039,69
4,967,995,92,217,1.75,1052,1036,1024,1030,876,1005,70
4,1551,860,79,127,1.8,1608,868,1600,864,1504,836,71
4,1858,545,68,120,2.64,1882,591,1887,573,1848,494,72
4,1891,517,55,120,3.13,1909,566,1916,551,1880,467,73
4,1822,510,60,114,0.65,1840,463,1847,483,1809,561,74
4,1778,500,76,101,1.48,1822,484,1813,490,1740,488,75
4,1802,608,52,101,1.25,1845,592,1835,598,1770,618,76
4,1776,456,45,94,1.67,1817,468,1808,450,1736,453,77
4,1766,570,63,81,1.44,1799,571,1790,585,1729,590,78
4,22,985,38,74,3.28,17,1019,14,1010,18,958,79
4,50,1035,36,72,5.12,21,1021,25,1026,56,1048,80
4,54,1058,36,62,4.84,27,1049,34,1054,68,1066,81
4,102,363,51,65,2.72,107,384,98,375,91,334,166
5,20,436,40,115,3.15,7,486,1,469,2,381,1
5,18,518,35,73,3.14,24,535,8,520,1,493,2
5,60,573,43,76,5.21,32,560,38,561,80,586,3
5,29,645,56,98,0.0,17,606,16,613,19,689,4
5,63,321,47,82,2.54,83,337,78,320,52,284,5
5,62,349,42,104,3.85,32,386,33,372,76,321,6
5,112,307,46,81,2.29,134,326,118,315,88,284,7
5,222,336,62,131,3.2,208,400,208,380,232,285,8
5,247,370,55,126,6.18,239,323,238,329,239,410,9
5,213,460,59,136,0.04,226,402,213,405,200,520,10
5,301,364,60,124,0.4,315,316,301,326,268,407,11
5,281,298,59,101,1.63,322,314,303,299,236,284,12
5,351,288,61,106,5.09,313,279,318,281,394,286,13
5,398,321,60,128,1.03,440,280,429,288,345,341,14
5,499,309,71,124,4.78,444,293,448,290,551,302,15
5,626,318,72,150,4.78,560,331,571,302,689,308,16
5,759,359,70,146,3.14,755,428,763,405,747,293,17
5,435,378,66,150,0.92,492,335,466,347,379,400,18
5,724,448,71,178,1.48,806,437,782,443,648,441,19
5,456,432,78,166,0.96,513,397,488,405,377,453,20
5,337,567,56,145,2.92,359,628,342,617,314,510,21
5,414,530,74,139,4.4,353,557,367,539,467,518,22
5,409,586,78,141,3.73,380,646,376,626,420,529,23
5,692,584,74,141,2.25,734,626,714,606,629,571,24
5,442,628,61,137,4.15,392,662,393,655,479,600,25
5,464,676,64,127,4.42,407,685,411,690,498,643,26
5,555,668,69,159,3.4,532,739,534,726,581,608,27
5,431,731,66,143,-0.69,391,693,391,699,464,778,28
5,527,778,61,136,4.44,464,799,472,796,573,755,29
5,712,835,73,123,4.81,668,832,677,836,770,845,30
5,447,792,75,166,5.56,392,740,393,754,470,828,31
5,433,843,86,164,5.62,383,789,401,817,495,886,32
5,368,765,49,129,6.16,366,715,361,719,370,822,33
5,297,767,46,109,1.68,348,771,345,770,249,764,34
5,197,749,40,125,5.28,158,712,166,723,239,770,35
5,257,816,80,87,1.74,280,807,255,803,217,823,36
5,308,865,54,144,5.15,256,842,263,846,349,887,37
5,667,949,67,161,5.17,611,920,614,933,724,987,38
5,897,586,97,237,3.35,865,686,861,646,876,511,39
5,1106,632,106,195,3.34,1081,713,1076,682,1120,546,40
5,872,877,117,196,3.35,834,955,818,926,858,793,41
5,1311,476,93,166,3.02,1318,550,1327,516,1268,405,42
5,1162,363,92,180,1.69,1246,358,1225,356,1083,345,43
5,1309,386,86,162,4.81,1230,375,1253,360,1383,392,44
5,1228,581,99,182,1.24,1314,577,1303,591,1166,635,45
5,1406,536,117,170,3.49,1366,594,1354,554,1421,458,46
5,1588,428,74,144,4.81,1523,424,1542,407,1646,429,47
5,1489,520,57,153,4.77,1425,509,1435,513,1557,520,48
5,1609,515,82,117,2.07,1644,545,1650,520,1562,491,49
5,1576,575,64,139,1.74,1634,584,1625,580,1549,556,50
5,1558,638,77,139,1.28,1617,621,1609,622,1502,663,51
5,1618,630,77,196,3.13,1630,721,1644,692,1640,565,52
5,1596,749,62,170,3.54,1563,819,1560,784,1605,675,53
5,1551,741,64,170,3.54,1513,807,1509,781,1566,661,54
5,1473,724,81,198,0.06,1466,633,1489,649,1503,778,55
5,1423,688,91,210,0.06,1392,590,1428,605,1449,750,56
5,1391,683,57,172,6.0,1370,612,1377,631,1411,762,57
5,1356,727,61,181,6.24,1354,658,1355,670,1361,812,58
5,1274,649,81,170,1.47,1356,627,1344,630,1202,654,59
5,1287,719,105,146,5.59,1237,676,1267,676,1324,777,60
5,1200,703,86,197,4.97,1115,687,1148,666,1286,715,61
5,1323,826,76,148,5.4,1274,785,1292,782,1377,864,62
5,1301,870,73,108,2.23,1331,904,1325,888,1261,836,63
